cid,date_of_birth,gender,year,job_code,number_of_children,marital_status,city,home_status,cars,income,spendings
0000000001,1958-05-18,0,2025,4,0,4,3,3,2,1653,669
0000000002,1972-05-15,1,2025,4,0,2,4,3,2,764,320
0000000003,1975-05-16,1,2025,3,0,1,3,3,2,2653,1258
0000000004,1972-05-17,1,2025,4,0,4,1,3,2,2473,1145
0000000005,1964-05-20,1,2025,4,0,2,2,3,2,809,348
0000000006,1962-05-22,1,2025,4,0,3,3,3,2,1879,778
0000000007,1960-05-23,0,2025,4,0,2,2,3,2,1763,708
0000000008,1952-05-26,0,2025,4,0,3,2,3,1,1660,796
0000000009,1966-05-24,0,2025,4,0,2,1,3,2,523,334
0000000010,1972-05-23,0,2025,2,1,4,1,3,2,6993,3998
0000000011,1963-05-27,0,2025,4,1,2,3,3,1,1935,613
0000000012,1973-05-25,0,2025,3,1,4,2,2,1,1979,890
0000000013,1966-05-28,0,2025,4,0,4,3,3,2,535,256
0000000014,1959-05-31,1,2025,4,0,4,3,3,1,1101,309
0000000015,1955-06-02,0,2025,4,0,3,3,3,2,422,160
0000000016,1970-05-30,1,2025,3,0,4,2,3,2,2237,1423
0000000017,1963-06-02,1,2025,4,0,2,2,3,2,929,628
0000000018,1967-06-02,0,2025,4,1,4,2,3,2,1049,438
0000000019,1967-06-03,0,2025,4,0,2,2,3,2,593,377
0000000020,1972-06-02,0,2025,4,2,4,3,3,1,1879,689
0000000021,1958-06-07,1,2025,4,0,3,4,3,2,1528,638
0000000022,1960-06-07,0,2025,4,0,3,3,2,2,1202,375
0000000023,1973-06-05,1,2025,3,0,4,4,2,2,2626,1179
0000000024,1956-06-10,0,2025,4,0,2,1,3,2,1355,610
0000000025,1962-06-10,1,2025,3,0,2,1,3,2,3935,1699
0000000026,1963-06-11,0,2025,4,0,4,3,3,2,705,264
0000000027,1954-06-14,0,2025,4,0,3,2,3,2,976,487
0000000028,1971-06-11,1,2025,4,0,4,2,3,1,317,84
0000000029,1972-06-11,1,2025,2,1,4,2,2,2,4054,1222
0000000030,1966-06-14,1,2025,3,0,2,2,3,2,2185,867
0000000031,1960-06-16,1,2025,4,0,4,2,3,1,577,171
0000000032,1967-06-16,1,2025,3,0,4,4,3,2,1745,746
0000000033,1971-06-16,1,2025,2,0,4,2,3,1,4394,1808
0000000034,1960-06-19,0,2025,4,0,3,2,3,2,2119,1021
0000000035,1971-06-18,1,2025,2,0,4,1,2,2,8727,3650
0000000036,1959-06-22,1,2025,4,0,2,3,3,1,628,252
0000000037,1960-06-22,0,2025,4,0,2,2,3,2,2455,931
0000000038,1958-06-24,0,2025,4,0,4,2,3,2,927,394
0000000039,1978-06-20,1,2025,2,0,2,1,3,2,10039,4971
0000000040,1957-06-26,1,2025,4,0,4,4,3,1,2289,579
0000000041,1965-06-25,0,2025,2,0,4,2,3,2,8304,3156
0000000042,1971-06-25,1,2025,2,2,4,2,2,2,5880,1990
