cid,date_of_birth,gender,year,job_code,number_of_children,marital_status,city,home_status,cars,income,spendings
0000000001,1958-05-18,0,2026,4,0,4,3,3,2,782,347
0000000002,1972-05-14,1,2026,1,0,2,4,3,2,2761,1449
0000000003,1975-05-15,1,2026,4,0,1,3,3,2,1190,545
0000000004,1972-05-15,1,2026,4,0,4,1,3,2,954,403
0000000005,1964-05-18,1,2026,4,0,2,2,3,2,3110,1249
0000000006,1962-05-19,1,2026,4,0,3,3,3,2,696,352
0000000007,1960-05-20,0,2026,4,0,2,2,3,2,1338,786
0000000008,1952-05-22,0,2026,4,0,3,2,3,1,650,231
0000000009,1966-05-20,0,2026,4,0,2,1,3,2,723,290
0000000010,1972-05-18,0,2026,2,1,4,1,3,2,4214,2032
0000000011,1963-05-22,0,2026,4,1,2,3,3,1,1648,614
0000000012,1973-05-19,0,2026,3,1,4,2,2,2,1585,505
0000000013,1966-05-22,0,2026,4,0,2,3,3,2,731,287
0000000014,1959-05-24,1,2026,4,0,4,3,3,1,944,290
0000000015,1955-05-26,0,2026,4,0,3,3,3,2,1930,854
0000000016,1970-05-22,1,2026,4,0,4,2,3,2,3135,1404
0000000017,1963-05-25,1,2026,4,0,2,2,3,2,421,175
0000000018,1967-05-24,0,2026,4,1,2,2,3,2,610,289
0000000019,1967-05-25,0,2026,4,0,2,2,3,2,1280,502
0000000020,1972-05-23,0,2026,3,2,4,3,3,1,2991,1060
0000000021,1958-05-28,1,2026,4,0,3,4,3,2,577,315
0000000022,1960-05-27,0,2026,4,0,3,3,2,2,720,238
0000000023,1973-05-25,1,2026,4,1,4,4,2,2,1028,269
0000000024,1956-05-29,0,2026,4,0,2,1,3,2,1195,661
0000000025,1962-05-29,1,2026,4,0,2,1,3,2,864,430
0000000026,1963-05-29,0,2026,4,0,3,3,3,2,778,383
0000000027,1954-06-01,0,2026,4,0,3,2,3,2,1475,583
0000000028,1971-05-28,1,2026,4,0,4,2,3,2,1856,840
0000000029,1972-05-28,1,2026,2,1,4,2,2,2,4641,1246
0000000030,1966-05-30,1,2026,4,0,2,2,3,2,452,215
0000000031,1960-06-01,1,2026,4,0,3,2,3,1,465,228
0000000032,1955-06-03,0,2026,4,2,3,3,3,2,657,278
0000000033,1975-05-30,1,2026,2,1,4,3,2,1,6744,2218
0000000034,1973-05-30,0,2026,3,0,4,3,3,2,2075,852
0000000035,1961-06-03,1,2026,2,0,3,2,3,2,5922,3020
0000000036,1969-06-01,1,2026,3,0,4,1,3,2,2163,1037
0000000037,1974-06-01,1,2026,2,0,2,4,3,1,6181,1840
0000000038,1969-06-02,1,2026,4,0,4,3,3,2,938,495
0000000039,1956-06-06,0,2026,4,0,3,3,3,2,1452,615
0000000040,1969-06-03,0,2026,4,2,4,2,3,2,1010,448
0000000041,1957-06-07,0,2026,4,0,2,1,3,2,714,334
0000000042,1957-06-07,0,2026,3,0,2,2,3,2,3923,1959
0000000043,1968-06-05,1,2026,2,0,2,3,3,2,3093,1817
0000000044,1961-06-07,1,2026,4,1,3,4,3,2,329,132
0000000045,1957-06-09,1,2026,4,0,2,3,3,1,467,211
0000000046,1970-06-06,0,2026,3,1,4,3,3,2,4109,2264
0000000047,1964-06-08,0,2026,3,0,2,2,3,2,3808,1889
0000000048,1969-06-07,0,2026,4,1,4,1,3,2,1782,842
0000000049,1959-06-11,0,2026,4,0,2,4,3,2,570,256
0000000050,1964-06-09,0,2026,4,0,4,3,3,2,1516,773
0000000051,1969-06-09,0,2026,4,0,4,4,3,2,1446,552
0000000052,1975-06-08,0,2026,3,1,4,3,3,2,2400,1283
0000000053,1967-06-11,0,2026,2,0,4,2,3,2,5243,2375
0000000054,1965-06-11,1,2026,4,0,2,3,3,2,1020,483
0000000055,1970-06-11,0,2026,2,0,2,2,3,1,5565,1667
0000000056,1957-06-14,0,2026,4,0,3,3,3,1,669,287
0000000057,1967-06-13,1,2026,1,2,4,2,3,2,2476,998
0000000058,1967-06-13,0,2026,1,0,2,3,3,2,2021,845
0000000059,1962-06-15,1,2026,4,0,4,4,3,2,1285,616
0000000060,1967-06-14,1,2026,3,0,4,1,3,2,5136,2411
0000000061,1961-06-16,0,2026,4,1,4,3,3,2,1813,891
0000000062,1960-06-16,0,2026,4,0,3,3,3,2,1315,824
0000000063,1969-06-15,1,2026,4,0,4,2,3,2,1264,659
0000000064,1969-06-15,1,2026,4,0,4,3,2,1,2011,329
0000000065,1961-06-18,1,2026,4,0,4,4,3,2,849,336
0000000066,1971-06-16,1,2026,4,0,4,4,3,2,407,207
0000000067,1955-06-21,0,2026,4,2,3,2,3,1,913,260
0000000068,1959-06-20,0,2026,4,0,3,2,3,2,601,310
0000000069,1969-06-18,0,2026,4,3,4,1,3,2,369,158
0000000070,1971-06-18,0,2026,3,1,4,3,2,2,2628,886
0000000071,1960-06-21,1,2026,2,0,2,3,3,2,10033,6699
0000000072,1977-06-17,1,2026,2,1,4,2,3,1,7242,3115
0000000073,1961-06-22,0,2026,4,0,3,4,3,2,501,209
0000000074,1972-06-19,0,2026,1,0,4,2,2,2,1086,450
0000000075,1954-06-25,1,2026,4,0,2,3,3,2,677,371
0000000076,1957-06-24,1,2026,4,0,2,2,3,2,1852,805
0000000077,1961-06-24,1,2026,3,3,4,4,2,2,3100,1029
0000000078,1959-06-25,1,2026,4,0,3,1,3,2,1358,573
0000000079,1969-06-23,1,2026,2,0,2,3,3,2,6748,2558
0000000080,1965-06-24,1,2026,4,0,2,3,3,2,837,326
0000000081,1958-06-27,1,2026,4,0,2,2,3,2,525,264
0000000082,1967-06-25,1,2026,3,0,4,4,3,1,1860,699
0000000083,1970-06-25,0,2026,4,0,4,1,2,2,679,297
0000000084,1960-06-27,0,2026,3,1,4,4,3,2,2284,867
0000000085,1976-06-24,0,2026,3,1,4,4,3,1,1875,596
0000000086,1962-06-28,0,2026,3,0,4,4,3,2,1762,769
0000000087,1964-06-28,0,2026,4,0,2,3,3,2,1197,562
0000000088,1968-06-27,0,2026,2,0,4,3,3,2,3500,1556
